Liga,Zespół_1,Zespół_2,1,0,2,10,02,12,Data,Wygrany,Bramki_1,Bramki_2
1-francja,Lyon,Le Havre,1.7,4.2,4.7,1.21,2.22,1.25,17.09. 20:45,0.0,0.0,0.0
1-hiszpania,Getafe,Osasuna,2.75,2.85,3.1,1.4,1.48,1.46,17.09. 14:00,1.0,3.0,2.0
1-hiszpania,Villarreal,Almeria,1.47,5.2,6.2,1.15,2.83,1.19,17.09. 16:15,1.0,2.0,1.0
1-hiszpania,FC Sevilla,UD L.Palmas,1.64,3.85,6.2,1.15,2.38,1.3,17.09. 18:30,1.0,1.0,0.0
1-hiszpania,Real M.,Real Sociedad,1.67,4.0,5.2,1.18,2.26,1.26,17.09. 21:00,1.0,2.0,1.0
1-holandia,Zwolle,G.A.Eagles,2.31,3.55,3.0,1.4,1.63,1.31,17.09. 12:15,0.0,1.0,1.0
1-holandia,SBV Excelsior,Almere City,2.16,3.75,3.1,1.37,1.7,1.27,17.09. 14:30,0.0,0.0,0.0
1-holandia,Tw.Enschede,Ajax,2.5,3.55,2.7,1.47,1.53,1.3,17.09. 14:30,1.0,3.0,1.0
1-holandia,AZ Alkmaar,Sparta Rotterdam,1.48,4.5,6.6,1.11,2.68,1.21,17.09. 16:45,1.0,2.0,0.0
1-portugalia,FC Arouca,Casa Pia,2.37,3.3,3.1,1.38,1.6,1.34,17.09. 16:30,2.0,0.0,1.0
1-portugalia,Gil Vicente FC,Estoril Praia,2.13,3.55,3.35,1.33,1.72,1.3,17.09. 16:30,1.0,5.0,3.0
1-portugalia,Vitoria Guimarares,Portimonense,1.58,4.1,5.8,1.14,2.4,1.24,17.09. 19:00,2.0,1.0,2.0
1-portugalia,Sporting L.,Moreirense FC,1.26,6.0,11.0,1.03,3.9,1.11,17.09. 21:30,1.0,3.0,0.0
1-anglia,Nottingham,Burnley,2.16,3.55,3.4,1.34,1.74,1.32,18.09. 20:45,0.0,1.0,1.0
1-hiszpania,Granada,Girona,2.78,3.4,2.65,1.53,1.49,1.36,18.09. 21:00,2.0,2.0,4.0
1-portugalia,Boavista FC,Chaves,1.67,3.95,4.85,1.17,2.18,1.24,18.09. 21:15,1.0,4.0,1.0
liga-mistrzow,YB Bern,Leipzig,5.4,4.5,1.6,2.45,1.18,1.23,19.09. 18:45,2.0,1.0,3.0
liga-mistrzow,AC Milan,Newcastle,2.6,3.35,2.83,1.46,1.53,1.36,19.09. 18:45,0.0,0.0,0.0
liga-mistrzow,Feyenoord,Celtic,1.6,4.5,5.4,1.18,2.45,1.23,19.09. 21:00,1.0,2.0,0.0
liga-mistrzow,Barcelona,Antwerp,1.19,8.2,14.5,1.04,5.2,1.1,19.09. 21:00,1.0,5.0,0.0
liga-mistrzow,PSG,Dortmund,1.78,4.3,4.1,1.26,2.1,1.24,19.09. 21:00,1.0,2.0,0.0
liga-mistrzow,S.Donieck,FC Porto,4.6,4.0,1.75,2.14,1.22,1.27,19.09. 21:00,2.0,1.0,3.0
liga-mistrzow,Lazio,Atl. Madryt,3.0,3.25,2.5,1.56,1.41,1.36,19.09. 21:00,0.0,1.0,1.0
liga-mistrzow,Man.City,CZ Belgrad,1.07,15.0,35.0,-1.0,10.5,1.03,19.09. 21:00,1.0,3.0,1.0
liga-mistrzow,Real M.,Un. Berlin,1.4,5.0,8.0,1.09,3.1,1.19,20.09. 18:45,1.0,1.0,0.0
liga-mistrzow,Galatasaray,FC Kopenhaga,1.59,4.3,5.6,1.16,2.43,1.24,20.09. 18:45,0.0,2.0,2.0
liga-mistrzow,FC Sevilla,Lens,1.92,3.65,4.1,1.26,1.93,1.31,20.09. 21:00,0.0,1.0,1.0
liga-mistrzow,Real Sociedad,Inter M.,3.05,3.35,2.41,1.6,1.4,1.35,20.09. 21:00,0.0,1.0,1.0
liga-mistrzow,SC Braga,Napoli,4.2,3.9,1.83,2.02,1.25,1.27,20.09. 21:00,2.0,1.0,2.0
liga-mistrzow,Bayern M.,Man.United,1.54,4.8,5.4,1.17,2.54,1.2,20.09. 21:00,2.0,1.0,3.0
liga-mistrzow,SL Benfica,Salzburg,1.44,4.9,7.0,1.11,2.88,1.19,20.09. 21:00,2.0,0.0,2.0
